title,url,abstract,published,source,entities
Vivek Ramaswamy’s FDA ‘corruption’ claims disavowed by Roivant,https://www.ft.com/content/e456d3dd-051c-4ce5-a4b7-d866c2294a46,Biotech company rejects founder and Republican presidential hopeful’s criticism of US drug regulator,2023-09-03T12:00:47.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)","Vivek Ramaswamy:PERSON, FDA:ORG, Roivant:PERSON, Republican:NORP, US:GPE"
Why are we wasting our limited supply of green hydrogen?,https://www.ft.com/content/6ace5bb0-fbe4-4725-95d2-f7076fbc23b1,"The fuel is being directed towards the industries that don’t need it, rather than the shipping and aviation sectors which do",2023-09-03T11:00:46.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)",""
Student housing: dorm storm means young ones are the stung ones,https://www.ft.com/content/43fcc4e1-347e-4844-9f37-64c144f185e0,Insufficient university accommodation reflects problems in the wider buy-to-let sector,2023-09-03T06:00:47.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)",""
German business urges help for crisis-hit building industry,https://www.ft.com/content/b82a428e-2031-49b6-8a45-f975252f26f5,"Rising rates, skills shortages and inflation have pushed developers into insolvency",2023-09-03T04:00:09.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)",German:NORP
Goldman faces £1mn lawsuit over ‘dysfunctional’ workplace claims,https://www.ft.com/content/1d6ff1ae-061d-40af-bcd8-e447a8205864,The culture at the Wall Street bank’s London office is set to come under scrutiny,2023-09-03T04:00:08.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)","Goldman:ORG, 1mn:ORDINAL, London:GPE"
Aldi heads down new aisle with US supermarket shopping spree,https://www.ft.com/content/a5882d13-ae01-4758-9bad-7f942b9b870f,German discounter is moving into more conventional big store territory in a fiercely competitive market,2023-09-03T04:00:08.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)","Aldi:PERSON, US:GPE, German:NORP"
"Africa the next ‘growth engine’ for Prudential, says new chief",https://www.ft.com/content/31e842e3-76f7-4794-a142-1bb5ad50f882,FTSE 100 insurer maps out expansion plans after walking away from US and European markets,2023-09-03T04:00:08.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)","Africa:LOC, Prudential:ORG, FTSE:ORG, 100:CARDINAL, US:GPE, European:NORP"
"Shorts risks cannibalising core YouTube business, say senior staff",https://www.ft.com/content/c51ce73a-8ae7-4f5e-aa3c-5e24e471cc7b,Concerns raised that TikTok rival is drawing audiences away from the platform’s longer-form videos,2023-09-03T04:00:08.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)","Shorts:PERSON, YouTube:ORG, TikTok:ORG"
How the next generation is breaking into company boardrooms,https://www.ft.com/content/99733ad3-d015-44bd-9227-57c65791aa76,More businesses are offering apprenticeships to diversify the pool of future directors,2023-09-03T04:00:08.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)",""
St James’s Place business model under scrutiny after fee cut,https://www.ft.com/content/cba1f8bd-1ac0-4203-99e5-3be0e5ae9b42,"As some clients complain about opaque charges, investors worry recent reduction could be just the start",2023-09-03T04:00:08.000000,"Source(id='ft-companies', name='Financial Times Companies', channel=<Channel.RSS: 'RSS'>)",St James’s Place:PERSON
